file,query,llm_plan_present,llm_plan_raw_present,dataset_count,knowledge_count,top10_medical_relevant,top10_total,top10_medical_relevance_rate,non_medical_noise_top10,trusted_source_rate_top10,run_status
"q1-r1.json","icu mortality prediction imbalanced clinical tabular dataset",true,true,6,15,7,10,0.7000,4,1.0000,"completed"
"q1-r2.json","icu mortality prediction imbalanced clinical tabular dataset",true,true,6,15,7,10,0.7000,4,1.0000,"completed"
"q1-r3.json","icu mortality prediction imbalanced clinical tabular dataset",true,true,6,15,7,10,0.7000,4,1.0000,"completed"
"q10-r1.json","clinical deterioration early warning patient monitoring dataset",true,true,6,15,7,10,0.7000,3,1.0000,"completed"
"q10-r2.json","clinical deterioration early warning patient monitoring dataset",true,true,6,15,7,10,0.7000,3,1.0000,"completed"
"q10-r3.json","clinical deterioration early warning patient monitoring dataset",true,true,6,15,7,10,0.7000,3,1.0000,"completed"
"q2-r1.json","hospital readmission risk prediction dataset clinical",true,true,6,15,6,10,0.6000,4,1.0000,"completed"
"q2-r2.json","hospital readmission risk prediction dataset clinical",true,true,6,15,6,10,0.6000,4,1.0000,"completed"
"q2-r3.json","hospital readmission risk prediction dataset clinical",true,true,6,15,7,10,0.7000,4,1.0000,"completed"
"q3-r1.json","sepsis early warning dataset ehr longitudinal",true,true,6,15,7,10,0.7000,4,1.0000,"completed"
"q3-r2.json","sepsis early warning dataset ehr longitudinal",true,true,6,15,7,10,0.7000,4,1.0000,"completed"
"q3-r3.json","sepsis early warning dataset ehr longitudinal",true,true,6,15,7,10,0.7000,4,1.0000,"completed"
"q4-r1.json","adverse event detection pharmacovigilance dataset",true,true,6,15,8,10,0.8000,4,1.0000,"completed"
"q4-r2.json","adverse event detection pharmacovigilance dataset",true,true,6,15,8,10,0.8000,4,1.0000,"completed"
"q4-r3.json","adverse event detection pharmacovigilance dataset",true,true,6,15,8,10,0.8000,4,1.0000,"completed"
"q5-r1.json","clinical trial outcome prediction tabular dataset",true,true,6,15,6,10,0.6000,5,1.0000,"completed"
"q5-r2.json","clinical trial outcome prediction tabular dataset",true,true,6,15,6,10,0.6000,5,1.0000,"completed"
"q5-r3.json","clinical trial outcome prediction tabular dataset",true,true,6,15,6,10,0.6000,5,1.0000,"completed"
"q6-r1.json","length of stay prediction hospital dataset",true,true,6,15,7,10,0.7000,3,1.0000,"completed"
"q6-r2.json","length of stay prediction hospital dataset",true,true,6,15,7,10,0.7000,4,1.0000,"completed"
"q6-r3.json","length of stay prediction hospital dataset",true,true,6,15,7,10,0.7000,4,1.0000,"completed"
"q7-r1.json","in-hospital mortality prediction ehr dataset",true,true,6,15,7,10,0.7000,5,1.0000,"completed"
"q7-r2.json","in-hospital mortality prediction ehr dataset",true,true,6,15,7,10,0.7000,5,1.0000,"completed"
"q7-r3.json","in-hospital mortality prediction ehr dataset",true,true,6,15,7,10,0.7000,5,1.0000,"completed"
"q8-r1.json","icu adverse drug event detection dataset",true,true,6,15,8,10,0.8000,4,1.0000,"completed"
"q8-r2.json","icu adverse drug event detection dataset",true,true,6,15,8,10,0.8000,4,1.0000,"completed"
"q8-r3.json","icu adverse drug event detection dataset",true,true,6,15,8,10,0.8000,4,1.0000,"completed"
"q9-r1.json","disease progression prediction cohort longitudinal dataset",true,true,6,15,6,10,0.6000,5,1.0000,"completed"
"q9-r2.json","disease progression prediction cohort longitudinal dataset",true,true,6,15,6,10,0.6000,5,1.0000,"completed"
"q9-r3.json","disease progression prediction cohort longitudinal dataset",true,true,6,15,6,10,0.6000,5,1.0000,"completed"
